product_category_name,revenue,orders,AOV
agro_industria_e_comercio,72530.47,182,398.51906593406596
alimentos,29393.41,450,65.31868888888889
alimentos_bebidas,15179.48,227,66.86995594713656
artes,24202.64,202,119.8150495049505
artes_e_artesanato,1814.01,23,78.87
artigos_de_festas,4485.18,39,115.00461538461539
artigos_de_natal,8800.82,128,68.75640625
audio,50688.5,350,144.8242857142857
automotivo,592720.11,3897,152.0965127020785
bebes,411764.89,2885,142.72613171577123
bebidas,22428.7,297,75.51750841750842
beleza_saude,1258681.34,8836,142.4492236306021
brinquedos,483946.6,3886,124.53592382913021
cama_mesa_banho,1036988.68,9417,110.1187936710205
casa_conforto,58572.04,397,147.53662468513855
casa_conforto_2,760.27,24,31.677916666666665
casa_construcao,83088.12,490,169.5675918367347
cds_dvds_musicais,730.0,12,60.833333333333336
cine_foto,6933.46,65,106.66861538461538
climatizacao,55024.96,253,217.4899604743083
consoles_games,157465.22,1062,148.27233521657251
construcao_ferramentas_construcao,144677.59,748,193.41923796791443
construcao_ferramentas_ferramentas,15903.95,97,163.95824742268042
construcao_ferramentas_iluminacao,41080.0,244,168.36065573770492
construcao_ferramentas_jardim,25715.89,194,132.55613402061854
construcao_ferramentas_seguranca,40544.52,167,242.78155688622752
cool_stuff,635290.85,3632,174.91488160792952
dvds_blu_ray,5999.39,59,101.68457627118644
eletrodomesticos,80171.53,764,104.93655759162303
eletrodomesticos_2,113317.74,234,484.2638461538462
eletronicos,160246.74,2550,62.84185882352941
eletroportateis,190648.58,630,302.6167936507936
esporte_lazer,988048.97,7720,127.98561787564766
fashion_bolsas_e_acessorios,152823.54,1864,81.98687768240343
fashion_calcados,23562.77,240,98.17820833333333
fashion_esporte,2119.51,27,78.50037037037038
fashion_roupa_feminina,2803.64,39,71.88820512820513
fashion_roupa_infanto_juvenil,569.85,8,71.23125
fashion_roupa_masculina,10797.82,112,96.40910714285714
fashion_underwear_e_moda_praia,9541.55,121,78.85578512396694
ferramentas_jardim,485256.46,3518,137.93532120523025
flores,1110.04,29,38.27724137931035
fraldas_higiene,1567.59,27,58.05888888888889
industria_comercio_e_negocios,39669.61,235,168.80685106382978
informatica_acessorios,911954.32,6689,136.33642098968454
instrumentos_musicais,191498.88,628,304.9345222929936
la_cuisine,2054.99,13,158.07615384615383
livros_importados,4639.85,53,87.54433962264152
livros_interesse_geral,46856.88,512,91.51734375
livros_tecnicos,19096.06,260,73.44638461538462
malas_acessorios,140429.98,1034,135.8123597678917
market_place,28378.47,280,101.35167857142858
moveis_colchao_e_estofado,4368.08,38,114.94947368421053
moveis_cozinha_area_de_servico_jantar_e_jardim,46328.37,248,186.8079435483871
moveis_decoracao,729762.49,6449,113.15901535121723
moveis_escritorio,273960.7,1273,215.20871956009427
moveis_quarto,20028.78,95,210.82926315789473
moveis_sala,68916.56,422,163.30938388625592
musica,6034.35,38,158.79868421052632
papelaria,230943.23,2311,99.93216356555604
pc_gamer,1545.95,8,193.24375
pcs,222963.13,181,1231.840497237569
perfumaria,399124.87,3162,126.22544908285894
pet_shop,214315.41,1710,125.33064912280702
portateis_casa_forno_e_cafe,47445.71,75,632.6094666666667
portateis_cozinha_e_preparadores_de_alimentos,3968.5299999999997,14,283.46642857142854
relogios_presentes,1205005.68,5624,214.2613229018492
seguros_e_servicos,283.28999999999996,2,141.64499999999998
sinalizacao_e_seguranca,21509.23,140,153.63735714285713
tablets_impressao_imagem,7528.41,79,95.29632911392405
telefonia,323667.53,4199,77.08205048821148
telefonia_fixa,59583.0,217,274.57603686635946
unknown,179535.28,1451,123.73210199862164
utilidades_domesticas,632248.66,5884,107.45218558803536
